Fruitless Fall: The Collapse of the Honey Bee and the Coming Agricultural Crisis	Rowan Jacobsen	4.31	524	1388522623s/3507618	3507618-fruitless-fall

"Loveí´Œ¢ŒíÍéíïéCom, Vol. 6"	Aya Nakahara	4.42	1569	1348678163s/1927112	1927112.Love_Com_Vol_6

"Tiger, Tiger"	Lynne Reid Banks	3.87	961	1320495135s/613385	613385.Tiger_Tiger

"The Course of True Love [and First Dates] (The Bane Chronicles, #10)"	Cassandra Clare	4.33	7206	1394591809s/17334065	17334065-the-course-of-true-love-and-first-dates

"Legend (Drenai Tales, #1)"	David Gemmell	4.24	16905	1233265621s/6164186	6164186-legend

"Entre ciel et terre (Vango, #1)"	Timothée de Fombelle	4.14	1079	1327254479s/7892578	7892578-entre-ciel-et-terre

"Ark (Flood, #2)"	Stephen Baxter	3.82	2473	1347369559s/2111628	2111628.Ark

"The Interpretation of Murder (Freud, #1)"	Jed Rubenfeld	3.51	9836	1428789639s/820394	820394.The_Interpretation_of_Murder

"Wish You Were Eyre (The Mother-Daughter Book Club, #6)"	Heather Vogel Frederick	4.43	2170	1333767248s/13406413	13406413-wish-you-were-eyre

Paradise Regained	John Milton	3.62	1517	1347307077s/138144	138144.Paradise_Regained

"Lifelong Love: When you know better, you do better. (STL314, book 1)"	Taz Will	4.17	12	1364515312s/17693362	17693362-lifelong-love

"The Fury / Dark Reunion (The Vampire Diaries, #3-4)"	L.J. Smith	3.74	52500	1347454337s/1895792	1895792.The_Fury_Dark_Reunion

"The Dalemark Quartet, Vol. 1: Cart and Cwidder & Drowned Ammet (The Dalemark Quartet, #1-2)"	Diana Wynne Jones	4.03	719	1435782359s/34289	34289.The_Dalemark_Quartet_Vol_1

"Out of the Box Regifted (Out of the Box, #2)"	Jennifer Theriot	4.49	314	1449341250s/21857790	21857790-out-of-the-box-regifted

"Animorphs (Animorphs, #1-54)"	Katherine Applegate	4.34	2776	1357546008s/3326828	3326828-animorphs

"Summer, Fireworks, and My Corpse"	Otsuichi	4.02	351	1364507185s/7326853	7326853-summer-fireworks-and-my-corpse

"Ilium (Ilium, #1)"	Dan Simmons	4	18874	1390894862s/3973	3973.Ilium

"A Great Deliverance (Inspector Lynley, #1)"	Elizabeth  George	4.06	26818	1422723527s/31374	31374.A_Great_Deliverance

"The Sandman: The Dream Hunters (The Sandman, #11)"	Neil Gaiman	4.38	14714	1327940077s/166580	166580.The_Sandman

"Sorceress of Darshiva (The Malloreon, #4)"	David Eddings	4.08	31865	1342438281s/371787	371787.Sorceress_of_Darshiva

The Girl of the Sea of Cortez	Peter Benchley	3.96	636	1296078590s/199049	199049.The_Girl_of_the_Sea_of_Cortez

"Atlantis Unleashed (Warriors of Poseidon,  #3)"	Alyssa Day	4.21	3727	1388363068s/2423981	2423981.Atlantis_Unleashed

"Don't Fear the Reaper (Netherworld, #1)"	Michelle Muto	3.99	359	1327096008s/12717535	12717535-don-t-fear-the-reaper

"Kagerou Daze Manga, Vol. 1 (Kagerou Daze Manga, #1)"	Jin	4.21	317	1453939073s/22553544	22553544-kagerou-daze-manga-vol-1

"First Person, Last Straw"	Tom Waters	4	3	1347250054s/2338190	2338190.First_Person_Last_Straw

"Gender Outlaw: On Men, Women and the Rest of Us"	Kate Bornstein	3.97	3511	1403194737s/52108	52108.Gender_Outlaw

"Matched (Matched, #1)"	Ally Condie	3.69	460105	1367706191s/7735333	7735333-matched

"Dolphins at Daybreak (Magic Tree House, #9)"	Mary Pope Osborne	3.9	9604	1320455069s/460120	460120.Dolphins_at_Daybreak

The Polar Express	Chris Van Allsburg	4.28	133195	1356707942s/420282	420282.The_Polar_Express

"Fall of Night (Dead of Night, #2)"	Jonathan Maberry	4.23	928	1393281161s/15725485	15725485-fall-of-night

"The Fall (The Seventh Tower, #1)"	Garth Nix	3.78	6865	1388890758s/767326	767326.The_Fall

"My Name Is Mina (Skellig, #0.5)"	David Almond	3.88	2743	1327247742s/8526585	8526585-my-name-is-mina

"The Other Queen (The Tudor Court, #7)"	Philippa Gregory	3.59	31381	1388192598s/2241558	2241558.The_Other_Queen

"Playing the Jack (Historical Duo, #1)"	Mary Brown	4.16	184	1387666555s/1727464	1727464.Playing_the_Jack

"Dial L for Loser (The Clique, #6)"	Lisi Harrison	3.81	11459	1441395661s/261161	261161.Dial_L_for_Loser

Oi For England	Trevor Griffiths	4.22	9	0	1428984.Oi_For_England

"The Secret Crown (Payne & Jones, #6)"	Chris Kuzneski	3.94	2353	1400380179s/8813644	8813644-the-secret-crown

"Broken (Georgia, #2)"	Karin Slaughter	4.2	20791	1338909554s/8709514	8709514-broken

"The Truelove (Aubrey/Maturin, #15)"	Patrick O'Brian	4.34	5314	1388358972s/24525	24525.The_Truelove

"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution"	Walter Isaacson	3.98	12446	1410191571s/21856367	21856367-the-innovators

"Fairest (The Lunar Chronicles, #3.5)"	Marissa Meyer	4.03	43361	1460846345s/22489107	22489107-fairest

"The Scarlet Pimpernel (The Scarlet Pimpernel, #1)"	Emmuska Orczy	4.06	95504	1348092973s/431145	431145.The_Scarlet_Pimpernel

"Almost Heaven (Sequels, #3)"	Judith McNaught	4.33	19328	1351327172s/129621	129621.Almost_Heaven

"Good (Too Good, #1)"	S. Walden	3.9	5783	1376367146s/17801215	17801215-good

"Artemis Fowl Collection (Artemis Fowl, #1-7)"	Eoin Colfer	4.38	2106	1348024318s/11387535	11387535-artemis-fowl-collection

Nobody's Fool	Richard Russo	4.12	14229	1328189082s/659388	659388.Nobody_s_Fool

