The Caspian Gates (Warrior of Rome, #4)	Harry Sidebottom	3.94	598	1328454208s/11072524	11072524-the-caspian-gates	450
Born Standing Up: A Comic's Life	Steve Martin	3.86	54400	1348034328s/773858	773858.Born_Standing_Up	207
Infinite Days (Vampire Queen, #1)	Rebecca Maizel	3.93	8379	1317791434s/7744064	7744064-infinite-days	308
Girls Like Us: Carole King, Joni Mitchell, Carly Simon - and the Journey of a Generation	Sheila Weller	3.7	3922	1347561757s/2319322	2319322.Girls_Like_Us	584
The Wild (A Requiem for Homo Sapiens, #2)	David Zindell	4.27	368	1266729409s/1145570	1145570.The_Wild	552
Hunted by the Others (H&W Investigations, #1)	Jess Haines	3.58	2492	1408385842s/7081899	7081899-hunted-by-the-others	337
La missione di Sennar (Le Cronache del Mondo Emerso, #2)	Licia Troisi	3.9	2580	1215686290s/3704118	3704118-la-missione-di-sennar	403
Avenger (Boy Soldier, #3)	Andy McNab	3.82	530	1348596091s/113985	113985.Avenger	272
No Unhallowed Hand (The Work and the Glory, #7)	Gerald N. Lund	4.33	8017	1266601545s/625561	625561.No_Unhallowed_Hand	656
The First Four Years  (Little House, #9)	Laura Ingalls Wilder	3.87	24430	1266449687s/8296	8296.The_First_Four_Years	126
Dear Scott, Dearest Zelda: The Love Letters of F. Scott and Zelda Fitzgerald	F. Scott Fitzgerald	4.13	1020	1348439773s/50187	50187.Dear_Scott_Dearest_Zelda	431
Nyphron Rising (The Riyria Revelations, #3)	Michael J. Sullivan	4.31	4570	1267545302s/6969549	6969549-nyphron-rising	346
Grim Tuesday (The Keys to the Kingdom, #2)	Garth Nix	3.85	17615	1304528058s/47620	47620.Grim_Tuesday	336
Katana (Katana, #1)	Cole Gibsen	3.72	1051	1327892517s/11788440	11788440-katana	375
UnEnchanted (An Unfortunate Fairy Tale, #1)	Chanda Hahn	3.88	30885	1327819697s/13402447	13402447-unenchanted	235
The Immortal Fire (Cronus Chronicles, #3)	Anne Ursu	3.98	1046	1388607683s/4479186	4479186-the-immortal-fire	528
The Ear, the Eye, and the Arm	Nancy Farmer	3.84	11409	1348531082s/633270	633270.The_Ear_the_Eye_and_the_Arm	311
The Everafter War (The Sisters Grimm, #7)	Michael Buckley	4.32	11625	1388278230s/4769651	4769651-the-everafter-war	306
An Old-Fashioned Girl	Louisa May Alcott	4.04	13541	1347469119s/246546	246546.An_Old_Fashioned_Girl	288
Best Buds (Petal Pushers, #3)	Catherine R. Daly	4.24	89	1328837828s/9759300	9759300-best-buds	176
The Clue of the Velvet Mask (Nancy Drew Mystery Stories, #30).	Carolyn Keene	3.88	4063	1459458828s/631127	631127.The_Clue_of_the_Velvet_Mask_Nancy_Drew_Mystery_Stories_30_	177
Prophecies Awakening (Legends of Marithia, #1)	Peter Koevari	3.72	181	1343939280s/15783130	15783130-prophecies-awakening	277
The Poison Diaries (Poison Diaries, #1)	Maryrose Wood	3.38	3096	1271880229s/7022166	7022166-the-poison-diaries	278
Twisted Perfection (Rosemary Beach, #5; Perfection, #1)	Abbi Glines	4.26	55142	1360904964s/17333880	17333880-twisted-perfection	290
Hamlet, Prince of Denmark	A.J. Hartley	4.06	1994	1394060134s/21000538	21000538-hamlet-prince-of-denmark	10
No Place for a Lady (Heart of the West, #1)	Maggie Brendan	3.8	3499	1347963269s/3945400	3945400-no-place-for-a-lady	304
Stir, Laugh, Repeat: Finding Joy While Playing in the Kitchen	Martha A. Cheves	4.83	24	1348803935s/4947431	4947431-stir-laugh-repeat	154
The Faerie Path (Faerie Path, #1)	Allan Frewin Jones	3.59	9507	1439433083s/501909	501909.The_Faerie_Path	312
If It Was Easy, They'd Call the Whole Damn Thing a Honeymoon: Living with and Loving the TV-Addicted, Sex-Obsessed, Not-So-Handy Man You Married	Jenna McCarthy	3.82	558	1306245029s/11091004	11091004-if-it-was-easy-they-d-call-the-whole-damn-thing-a-honeymoon	320
Anguish (Jokers' Wrath MC, #3)	Bella Jewel	4.38	6491	1411636937s/23269991	23269991-anguish	287
