title	author	avg_rating	ratings	img	url
"The Hunger Games (The Hunger Games, #1)"	Suzanne Collins	4.36	4175878	1447303603s/2767052	2767052-the-hunger-games	45
"Twilight (Twilight, #1)"	Stephenie Meyer	3.56	3404290	1361039443s/41865	41865.Twilight	66
To Kill a Mockingbird	Harper Lee	4.24	2829336	1361975680s/2657	2657.To_Kill_a_Mockingbird	654
Animal Farm	George Orwell	3.84	1731219	1424037542s/7613	7613.Animal_Farm	444
"Mockingjay (The Hunger Games, #3)"	Suzanne Collins	4.03	1678720	1358275419s/7260188	7260188-mockingjay 654
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"	J.K. Rowling	4.5	1673951	1362278317s/5	5.Harry_Potter_and_the_Prisoner_of_Azkaban	654
"The Girl with the Dragon Tattoo (Millennium, #1)"	Stieg Larsson	4.09	1636008	1327868566s/2429135	2429135.The_Girl_with_the_Dragon_Tattoo	16
The Kite Runner	Khaled Hosseini	4.23	1624197	1333578275s/819495	819495.The_Kite_Runner	44
