title	author	avg_rating	ratings
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.36	4172305
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.42	3865664
Twilight (Twilight, #1)	Stephenie Meyer	3.56	3401798
To Kill a Mockingbird	Harper Lee	4.24	2826535
The Great Gatsby	F. Scott Fitzgerald	3.87	2424256
The Fault in Our Stars	John Green	4.31	1946505
The Hobbit	J.R.R. Tolkien	4.23	1914482
The Catcher in the Rye	J.D. Salinger	3.78	1853891
Pride and Prejudice	Jane Austen	4.24	1852126
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.3	1817332
Divergent (Divergent, #1)	Veronica Roth	4.28	1811787
The Diary of a Young Girl	Anne Frank	4.08	1754985
1984	George Orwell	4.12	1746593
Angels & Demons  (Robert Langdon, #1)	Dan Brown	3.83	1744479
Animal Farm	George Orwell	3.84	1729808
Mockingjay (The Hunger Games, #3)	Suzanne Collins	4.03	1677712
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.5	1672613
The Girl with the Dragon Tattoo (Millennium, #1)	Stieg Larsson	4.09	1634587
De vliegeraar	Khaled Hosseini	4.23	1622972
The Kite Runner	Khaled Hosseini	4.23	1622972
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.44	1610988
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.34	1608652
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.5	1592830
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.59	1580824
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.32	1556194
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.51	1536441
Romeo and Juliet	William Shakespeare	3.73	1484680
The Lovely Bones	Alice Sebold	3.75	1479113
Lord of the Flies	William Golding	3.62	1457950
The Da Vinci Code (Robert Langdon, #2)	Dan Brown	3.76	1419831
The Help	Kathryn Stockett	4.45	1356907
Of Mice and Men	John Steinbeck	3.82	1339040
Gone Girl	Gillian Flynn	4	1316380
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #2)	C.S. Lewis	4.17	1316106
The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, #1)	C.S. Lewis	4.17	1316106
Fifty Shades of Grey (Fifty Shades, #1)	E.L. James	3.68	1305766
Pięćdziesiąt twarzy Greya (Pięćdziesiąt odcieni, #1)	E.L. James	3.68	1305766
Memoirs of a Geisha	Arthur Golden	4.06	1282919
The Giver (The Giver, #1)	Lois Lowry	4.12	1236199
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	1173640
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.21	1170648
The Time Traveler's Wife	Audrey Niffenegger	3.94	1170399
Little Women (Little Women, #1)	Louisa May Alcott	4.02	1158502
Jane Eyre	Charlotte Brontë	4.09	1141260
The Alchemist	Paulo Coelho	3.79	1139018
New Moon (Twilight, #2)	Stephenie Meyer	3.52	1103844
Eclipse	Stephenie Meyer	3.7	1084665
Eclipse  (Twilight, #3)	Stephenie Meyer	3.7	1084665
Ljudet av ditt hjärta (Twilight, #3)	Stephenie Meyer	3.7	1084665
Eat, Pray, Love	Elizabeth Gilbert	3.48	1076146
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.12	1054053
The Book Thief	Markus Zusak	4.35	1035453
Awal Yang Baru (Twilight, #4)	Stephenie Meyer	3.7	1034435
Biss zum Ende der Nacht (Twilight, #4)	Stephenie Meyer	3.7	1034435
Breaking Dawn (Twilight, #4)	Stephenie Meyer	3.7	1034435
Fahrenheit 451	Ray Bradbury	3.96	1007735
Water for Elephants	Sara Gruen	4.06	1000529
The Notebook (The Notebook, #1)	Nicholas Sparks	4.05	991994
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.83	973495
Life of Pi	Yann Martel	3.87	950546
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein	Shel Silverstein	4.27	949543
Brave New World	Aldous Huxley	3.95	928539
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.19	916664
The Adventures of Huckleberry Finn	Mark Twain	3.79	910411
Charlotte's Web	E.B. White	4.13	910129
Northern Lights (His Dark Materials, #1)	Philip Pullman	3.91	871205
The Golden Compass (His Dark Materials, #1)	Philip Pullman	3.91	871205
Wuthering Heights	Emily Brontë	3.8	843439
The Secret Life of Bees	Sue Monk Kidd	3.99	840955
Insurgent (Divergent, #2)	Veronica Roth	4.1	837648
The Curious Incident of the Dog in the Night-Time	Mark Haddon	3.84	831307
The Perks of Being a Wallflower	Stephen Chbosky	4.2	818087
