0,14
1,64
2,78
3,85
4,93
5,89
6,100
7,125
8,94
9,106
10,100
11,119
12,105
13,102
14,83
15,97
16,106
17,104
18,80
19,95
20,99
21,77
22,114
23,122
24,114
25,97
26,94
27,106
28,107
29,88
30,101
31,84
32,93
33,103
34,117
35,87
36,96
37,117
38,103
39,102
40,91
41,97
42,105
43,104
44,89
45,94
46,108
47,135
48,110
49,105
50,103
51,88
52,101
53,101
54,96
55,96
56,110
57,100
58,89
59,100
60,112
61,119
62,106
63,108
64,97
65,92
66,89
67,95
68,92
69,116
70,112
71,94
72,96
73,88
74,113
75,101
76,110
77,101
78,106
79,96
80,101
81,105
82,102
83,107
84,105
85,101
86,97
87,94
88,96
89,91
90,102
91,107
92,79
93,111
94,93
95,110
96,93
97,115
98,103
99,102
100,103
101,120
102,105
103,101
104,102
105,105
106,102
107,91
108,88
109,85
110,98
111,110
112,103
113,89
114,104
115,99
116,104
117,104
118,89
119,97
120,92
121,79
122,113
123,109
124,86
125,112
126,107
127,80
128,99
129,123
130,101
131,90
132,101
133,98
134,115
135,91
136,105
137,102
138,95
139,110
140,87
141,90
142,106
143,101
144,82
145,103
146,89
147,103
148,91
149,102
150,89
151,100
152,98
153,105
154,108
155,94
156,95
157,105
158,111
159,104
160,99
161,91
162,112
163,110
164,100
165,102
166,99
167,93
168,100
169,100
170,107
171,104
172,101
173,90
174,102
175,110
176,93
177,103
178,94
179,105
180,99
181,105
182,110
183,98
184,96
185,86
186,121
187,107
188,106
189,98
190,103
191,108
192,104
193,86
194,108
195,84
196,110
197,96
198,124
199,96
200,95
201,103
202,87
203,93
204,90
205,87
206,102
207,96
208,105
209,110
210,98
211,103
212,97
213,101
214,78
215,76
216,96
217,102
218,98
219,103
220,98
221,109
222,87
223,121
224,99
225,84
226,120
227,97
228,74
229,96
230,99
231,92
232,95
233,123
234,83
235,98
236,94
237,102
238,104
239,96
240,105
241,84
242,91
243,102
244,97
245,112
246,98
247,98
248,87
249,92
250,110
251,107
252,102
253,98
254,81
255,106
256,92
257,100
258,88
259,101
260,113
261,106
262,100
263,97
264,95
265,97
266,89
267,108
268,115
269,119
270,106
271,111
272,105
273,106
274,102
275,103
276,99
277,86
278,90
279,97
280,78
281,109
282,93
283,103
284,91
285,104
286,83
287,105
288,93
289,112
290,94
291,118
292,105
293,96
294,81
295,114
296,111
297,102
298,107
299,90
300,85
301,95
302,97
303,117
304,124
305,122
306,105
307,87
308,82
309,93
310,87
311,107
312,91
313,92
314,100
315,108
316,79
317,93
318,96
319,116
320,105
321,93
322,91
323,93
324,107
325,96
326,87
327,105
328,97
329,89
330,103
331,102
332,114
333,108
334,94
335,110
336,101
337,96
338,94
339,86
340,102
341,94
342,99
343,101
344,100
345,121
346,108
347,91
348,108
349,104
350,101
351,99
352,100
353,109
354,97
355,104
356,107
357,104
358,92
359,102
360,107
361,105
362,88
363,96
364,109
365,120
366,95
367,116
368,98
369,98
370,98
371,111
372,82
373,99
374,102
375,114
376,97
377,82
378,121
379,106
380,86
381,86
382,95
383,112
384,110
385,103
386,107
387,89
388,111
389,92
390,101
391,104
392,106
393,100
394,108
395,83
396,110
397,101
398,87
399,90
400,105
401,113
402,80
403,104
404,95
405,83
406,99
407,96
408,105
409,119
410,108
411,91
412,107
413,97
414,96
415,120
416,108
417,95
418,104
419,102
420,102
421,116
422,107
423,96
424,90
425,106
426,100
427,104
428,91
429,94
430,94
431,88
432,112
433,32
