0,24
1,136
2,226
3,248
4,226
5,269
6,255
7,269
8,249
9,276
10,312
11,286
12,281
13,272
14,296
15,292
16,277
17,297
18,296
19,259
20,254
21,295
22,245
23,268
24,300
25,314
26,271
27,272
28,298
29,289
30,267
31,282
32,295
33,260
34,289
35,266
36,275
37,301
38,297
39,297
40,284
41,262
42,246
43,246
44,277
45,263
46,299
47,289
48,266
49,267
50,255
51,285
52,290
53,238
54,287
55,243
56,304
57,297
58,315
59,288
60,247
61,280
62,243
63,289
64,292
65,262
66,265
67,263
68,293
69,276
70,269
71,316
72,299
73,268
74,249
75,284
76,271
77,295
78,279
79,280
80,297
81,253
82,281
83,265
84,296
85,282
86,278
87,320
88,259
89,239
90,305
91,281
92,279
93,290
94,271
95,296
96,289
97,248
98,265
99,313
100,317
101,299
102,282
103,292
104,303
105,278
106,269
107,274
108,254
109,249
110,294
111,294
112,292
113,257
114,251
115,282
116,263
117,259
118,283
119,290
120,253
121,300
122,277
123,276
124,257
125,289
126,279
127,290
128,290
129,289
130,290
131,305
132,292
133,275
134,267
135,252
136,289
137,302
138,276
139,266
140,290
141,265
142,289
143,286
144,283
145,303
146,281
147,286
148,241
149,282
150,246
151,295
152,272
153,259
154,293
155,256
156,23
