Tanrí´äóæí‚Œ± Daima Tebdil-i Kí´äóæí‚Œ±yafet Gezer	Laurent Gounelle	3.91	1869	1341765690s/15742058	15742058-tanr-daima-tebdil-i-k-yafet-gezer	448
Friends Without Benefits (Knitting in the City, #2)	Penny Reid	4.02	8118	1379202139s/18001399	18001399-friends-without-benefits	424
Ironweed	William Kennedy	3.86	12366	1408926209s/267243	267243.Ironweed	208
Killing Floor (Jack Reacher, #1)	Lee Child	4.03	151885	1399313258s/78129	78129.Killing_Floor	525
Matefinder (Matefinder #1)	Leia Stone	3.77	2474	1418656798s/23864830	23864830-matefinder	296
The Road	Cormac McCarthy	3.94	503095	1439197219s/6288	6288.The_Road	241
One Million Lovely Letters: When life is looking hopeless, one inspirational letter can change your life forever	Jodi Ann Bickley	4.25	449	1387782058s/19862844	19862844-one-million-lovely-letters	240
Swept (Swept Saga, #1)	Becca Lee Nyx	3.25	258	1363265265s/17611929	17611929-swept	176
Fade Away (Myron Bolitar, #3)	Harlan Coben	3.97	14501	1390230993s/272607	272607.Fade_Away	368
Sea of Shadows (Age of Legends, #1)	Kelley Armstrong	3.76	7335	1371848637s/17236366	17236366-sea-of-shadows	406
The Realms of the Gods (Immortals, #4)	Tamora Pierce	4.31	40427	1262375414s/13834	13834.The_Realms_of_the_Gods	347
A Caress of Twilight (Merry Gentry, #2)	Laurell K. Hamilton	4.04	31019	1327877187s/30240	30240.A_Caress_of_Twilight	348
The Finishing School	Muriel Spark	3.01	849	1320551040s/69515	69515.The_Finishing_School	181
The Exile: An Outlander Graphic Novel	Diana Gabaldon	3.54	8102	1320514694s/7517343	7517343-the-exile	224
The High Queen (The Mists of Avalon, #2)	Marion Zimmer Bradley	4.14	3637	1313592659s/18886	18886.The_High_Queen	13
The Family at Red-Roofs	Enid Blyton	4.12	465	1175787748s/557214	557214.The_Family_at_Red_Roofs	256
Winnetou I: Kepala Suku Apache	Karl May	4.12	2745	1187628319s/1612379	1612379.Winnetou_I	496
The Sight (Sight, #1)	David Clement-Davies	4.13	9742	1388297746s/58085	58085.The_Sight	465
Naamah's Curse (Moirin Trilogy, #2)	Jacqueline Carey	4.11	8006	1329947397s/6586456	6586456-naamah-s-curse	576
The Ground Beneath Her Feet	Salman Rushdie	3.77	8857	1386923893s/9864	9864.The_Ground_Beneath_Her_Feet	576
The Grave Tattoo	Val McDermid	3.62	2911	1311973615s/91482	91482.The_Grave_Tattoo	400
Fin-de-Sií´íéí‚Ícle Vienna: Politics and Culture	Carl E. Schorske	4.07	904	1439288268s/197287	197287.Fin_de_Si_cle_Vienna	378
Invisible Cities	Italo Calvino	4.2	31647	1388395463s/9809	9809.Invisible_Cities	165
Kaden	Synne Jakobsen	4.47	62	1438396801s/26017870	26017870-kaden	343
Columbus and Other Cannibals: The Wetiko Disease of Exploitation, Imperialism, and Terrorism	Jack D. Forbes	4.22	143	1320390749s/2041688	2041688.Columbus_and_Other_Cannibals	258
The Meaning of Human Existence	Edward O. Wilson	3.8	1803	1431901378s/20665570	20665570-the-meaning-of-human-existence	207
The Bite Before Christmas (Argeneau #15.5; Night Huntress #6.5)	Lynsay Sands	4.16	14553	1328313295s/10518110	10518110-the-bite-before-christmas	225
The Myths We Live by	Mary Midgley	3.79	86	1347415942s/168414	168414.The_Myths_We_Live_by	208
How I became Lotus Raine...the porn star	Erika Ashby	3.93	843	1402464710s/22084404	22084404-how-i-became-lotus-raine-the-porn-star	216
The Tale of Benjamin Bunny	Beatrix Potter	4.27	11241	1348732073s/756712	756712.The_Tale_of_Benjamin_Bunny	58
Confessions of an Economic Hit Man	John Perkins	3.82	23000	1438293255s/2159	2159.Confessions_of_an_Economic_Hit_Man	336
The Pirates! In an Adventure with Scientists	Gideon Defoe	3.9	3029	1389197915s/225314	225314.The_Pirates_In_an_Adventure_with_Scientists	144
Blast from the Past (Allie Finkle's Rules for Girls, #6)	Meg Cabot	3.94	1334	1406924955s/7934326	7934326-blast-from-the-past	240
