title	author	avg_rating	ratings	img	url
The Time Traveler's Wife	Audrey Niffenegger	3.94	1171084	1380660571s/18619684	18619684-the-time-traveler-s-wife
Little Women (Little Women, #1)	Louisa May Alcott	4.02	1159162	1388269517s/1934	1934.Little_Women
Jane Eyre	Charlotte BrontÃƒÂ«	4.09	1142082	1327867269s/10210	10210.Jane_Eyre
The Alchemist	Paulo Coelho	3.79	1140287	1287827991s/865	865.The_Alchemist
New Moon (Twilight, #2)	Stephenie Meyer	3.52	1104366	1361039440s/49041	49041.New_Moon
Ljudet av ditt hjÃƒÂ¤rta (Twilight, #3)	Stephenie Meyer	3.7	1085171	1365439698s/6462825	6462825-ljudet-av-ditt-hj-rta
Eclipse (Twilight, #3)	Stephenie Meyer	3.7	1085171	1361038355s/428263	428263.Eclipse
Eclipse  (CrepÃƒÂºsculo, #3)	Stephenie Meyer	3.7	1085171	1335402447s/2123654	2123654.Eclipse
Eclipse	Stephenie Meyer	3.7	1085171	1328330400s/11156809	11156809-eclipse
Eclipse (CrepÃƒÂºsculo, #3)	Stephenie Meyer	3.7	1085171	1327318780s/7011362	7011362-eclipse
Eclipse  (Twilight, #3)	Stephenie Meyer	3.7	1085171	1327120292s/5514920	5514920-eclipse
Eat, Pray, Love	Elizabeth Gilbert	3.48	1076779	1294023455s/19501	19501.Eat_Pray_Love
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.12	1055146	1432730315s/256683	256683.City_of_Bones
The Book Thief	Markus Zusak	4.35	1036645	1390053681s/19063	19063.The_Book_Thief
Breaking Dawn (Twilight, #4)	Stephenie Meyer	3.7	1034928	1438120007s/1162543	1162543.Breaking_Dawn
Awal Yang Baru (Twilight, #4)	Stephenie Meyer	3.7	1034928	1406016541s/6123207	6123207-awal-yang-baru
Biss zum Ende der Nacht (Twilight, #4)	Stephenie Meyer	3.7	1034928	1379075599s/4504046	4504046-biss-zum-ende-der-nacht
SÃƒÂ¥ lÃƒÂ¤nge vi bÃƒÂ¥da andas (Twilight, #4)	Stephenie Meyer	3.7	1034928	1365440039s/17754177	17754177-s-l-nge-vi-b-da-andas
Fahrenheit 451	Ray Bradbury	3.96	1008646	1388688755s/57947	57947.Fahrenheit_451
Fahrenheit 451	Ray Bradbury	3.96	1008645	1334146431s/13597334	13597334-fahrenheit-451
Water for Elephants	Sara Gruen	4.06	1000953	1388183358s/43641	43641.Water_for_Elephants
The Notebook (The Notebook, #1)	Nicholas Sparks	4.05	992380	1385738917s/15931	15931.The_Notebook
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.83	974341	1366212852s/113436	113436.Eragon
Life of Pi	Yann Martel	3.87	950798	1320562005s/4214	4214.Life_of_Pi
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein	Shel Silverstein	4.27	950263	1168052448s/30119	30119.Where_the_Sidewalk_Ends
Brave New World	Aldous Huxley	3.95	929223	1433092908s/5129	5129.Brave_New_World
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.19	917085	1327656754s/11	11.The_Hitchhiker_s_Guide_to_the_Galaxy
Charlotte's Web	E.B. White	4.13	911048	1439632243s/24178	24178.Charlotte_s_Web
The Adventures of Huckleberry Finn	Mark Twain	3.79	910807	1405973850s/2956	2956.The_Adventures_of_Huckleberry_Finn
The Golden Compass (His Dark Materials, #1)	Philip Pullman	3.91	871831	1451271747s/119322	119322.The_Golden_Compass
Northern Lights (His Dark Materials, #1)	Philip Pullman	3.91	871831	1335947341s/827970	827970.Northern_Lights
Wuthering Heights	Emily BrontÃƒÂ«	3.8	844178	1405864871s/15994537	15994537-wuthering-heights
Wuthering Heights	Emily BrontÃƒÂ«	3.8	844177	1388212715s/6185	6185.Wuthering_Heights
The Secret Life of Bees	Sue Monk Kidd	3.99	841422	1333819031s/37435	37435.The_Secret_Life_of_Bees
Insurgent (Divergent, #2)	Veronica Roth	4.1	838276	1325667729s/11735983	11735983-insurgent
Insurgent (Divergent #2)	Veronica Roth	4.1	838276	1324015626s/13068756	13068756-insurgent
The Curious Incident of the Dog in the Night-Time	Mark Haddon	3.84	831605	1327882682s/1618	1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
The Perks of Being a Wallflower	Stephen Chbosky	4.2	818878	1438668337s/22628	22628.The_Perks_of_Being_a_Wallflower
Gone with the Wind	Margaret Mitchell	4.27	801818	1328025229s/18405	18405.Gone_with_the_Wind
My Sister's Keeper	Jodi Picoult	4.05	796910	1369504683s/10917	10917.My_Sister_s_Keeper
Slaughterhouse-Five	Kurt Vonnegut	4.04	782475	1440319389s/4981	4981.Slaughterhouse_Five
Teurastamo 5	Kurt Vonnegut	4.04	782475	1347864960s/16030726	16030726-teurastamo-5
Frankestein	Mary Shelley	3.73	776041	1420346142s/24285536	24285536-frankestein
Frankenstein	Mary Shelley	3.73	776041	1381512375s/18490	18490.Frankenstein
Ender's Game (The Ender Quintet, #1)	Orson Scott Card	4.29	759663	1408303130s/375802	375802.Ender_s_Game
A Thousand Splendid Suns	Khaled Hosseini	4.32	742197	1345958969s/128029	128029.A_Thousand_Splendid_Suns
A burok (The Host, #1)	Stephenie Meyer	3.84	722207	1358545199s/17258839	17258839-a-burok
Seelen	Stephenie Meyer	3.84	722207	1328099965s/4504047	4504047-seelen
The Host (The Host, #1)	Stephenie Meyer	3.84	722207	1318009171s/1656001	1656001.The_Host
The Host	Stephenie Meyer	3.84	722207	1256167156s/7024635	7024635-the-host
A Hospedeira (The Host #1)	Stephenie Meyer	3.84	722207	1253644376s/6899001	6899001-a-hospedeira
The Shining (The Shining, #1)	Stephen King	4.14	713121	1353277730s/11588	11588.The_Shining
The Shining	Stephen King	4.14	713121	1345204144s/12994515	12994515-the-shining
U potrazi za Aljaskom	John Green	4.12	701460	1428573725s/25326278	25326278-u-potrazi-za-aljaskom
Looking for Alaska	John Green	4.12	701460	1394798630s/99561	99561.Looking_for_Alaska
Sense and Sensibility	Jane Austen	4.05	694265	1266797396s/2407534	2407534.Sense_and_Sensibility
Bridget Jones's Diary (Bridget Jones, #1)	Helen Fielding	3.73	672080	1292060045s/227443	227443.Bridget_Jones_s_Diary
Holes (Holes, #1)	Louis Sachar	3.92	660302	1327781893s/38709	38709.Holes
LÃƒÂ¶cher. Die Geheimnisse von Green Lake.	Louis Sachar	3.92	660302	1176778974s/653652	653652.L_cher_Die_Geheimnisse_von_Green_Lake_
Micul Print	Antoine de Saint-ExupÃƒÂ©ry	4.26	649731	1420026944s/24230493	24230493-micul-print
